country,year,indicator,value
SD,1990,gdp,33641222222.2222
SD,1989,gdp,21408111111.1111
SD,1988,gdp,14372555555.5556
SD,1987,gdp,12093333333.3333
SD,1986,gdp,10092200000.0
SD,1985,gdp,8075259600.3398
SD,1984,gdp,10447615384.6154
SD,1983,gdp,8230153846.15385
SD,1982,gdp,8732542273.73424
SD,1981,gdp,10753888154.2798
SD,1980,gdp,8951800000.0
SD,1979,gdp,8418407786.60599
SD,1978,gdp,8128719315.0792
SD,1977,gdp,7499005639.37649
SD,1976,gdp,6013210815.66115
SD,1975,gdp,4823090191.91008
SD,1974,gdp,3958931659.84759
SD,1973,gdp,3077254460.30228
SD,1972,gdp,2483055722.23738
SD,1971,gdp,2288340041.03486
SD,1970,gdp,2100229759.04718
SD,1969,gdp,1847501441.26221
SD,1968,gdp,1677771400.56798
SD,1967,gdp,1607409539.36648
SD,1966,gdp,1484491675.71652
SD,1965,gdp,1446869619.31898
SD,1964,gdp,1388282600.1961
SD,1963,gdp,1351234926.33899
SD,1962,gdp,1328259624.72217
SD,1961,gdp,1222860428.55503
SD,1960,gdp,1126364161.7644
SD,2024,population,50448963.0
SD,2023,population,50042791.0
SD,2022,population,49383346.0
SD,2021,population,48066924.0
SD,2020,population,46789231.0
SD,2019,population,45548175.0
SD,2018,population,44230596.0
SD,2017,population,42714306.0
SD,2016,population,41259892.0
SD,2015,population,40024431.0
SD,2014,population,38823318.0
SD,2013,population,37785849.0
SD,2012,population,36923178.0
SD,2011,population,36140806.0
SD,2010,population,35414399.0
SD,2009,population,34569113.0
SD,2008,population,33623980.0
SD,2007,population,32764135.0
SD,2006,population,31992435.0
SD,2005,population,31262444.0
SD,2004,population,30556637.0
SD,2003,population,29896035.0
SD,2002,population,29228727.0
SD,2001,population,28516770.0
SD,2000,population,27816745.0
SD,1999,population,27130613.0
SD,1998,population,26458999.0
SD,1997,population,25799821.0
SD,1996,population,25231528.0
SD,1995,population,24672143.0
SD,1994,population,24043948.0
SD,1993,population,23445592.0
SD,1992,population,22927355.0
SD,1991,population,22470676.0
SD,1990,population,22021481.0
SD,1989,population,21578022.0
SD,1988,population,21138431.0
SD,1987,population,20704904.0
SD,1986,population,20288238.0
SD,1985,population,19905872.0
SD,1984,population,19546528.0
SD,1983,population,19109770.0
SD,1982,population,18486645.0
SD,1981,population,17780572.0
SD,1980,population,17058905.0
SD,1979,population,16355352.0
SD,1978,population,15695003.0
SD,1977,population,15086614.0
SD,1976,population,14569716.0
SD,1975,population,14064798.0
SD,1974,population,13580723.0
SD,1973,population,13049315.0
SD,1972,population,12527856.0
SD,1971,population,12105539.0
SD,1970,population,11695771.0
SD,1969,population,11298936.0
SD,1968,population,10917999.0
SD,1967,population,10550597.0
SD,1966,population,10197578.0
SD,1965,population,9858030.0
SD,1964,population,9531109.0
SD,1963,population,9218077.0
SD,1962,population,8919028.0
SD,1961,population,8634941.0
SD,1960,population,8364489.0
SS,2015,gdp,11997800760.2242
SS,2014,gdp,13962212847.4576
SS,2013,gdp,18426469016.9492
SS,2012,gdp,11931472169.4915
SS,2011,gdp,14907308932.7534
SS,2010,gdp,14602072410.9506
SS,2009,gdp,12231264525.0671
SS,2008,gdp,14586253383.0632
SS,2024,population,11943408.0
SS,2023,population,11483374.0
SS,2022,population,11021177.0
SS,2021,population,10865780.0
SS,2020,population,10698467.0
SS,2019,population,10423384.0
SS,2018,population,10122977.0
SS,2017,population,10259154.0
SS,2016,population,10830102.0
SS,2015,population,11107561.0
SS,2014,population,11235073.0
SS,2013,population,11166275.0
SS,2012,population,10756240.0
SS,2011,population,10288109.0
SS,2010,population,9745953.0
SS,2009,population,9243556.0
SS,2008,population,8817647.0
SS,2007,population,8388788.0
SS,2006,population,7976526.0
SS,2005,population,7590143.0
SS,2004,population,7233041.0
SS,2003,population,6903127.0
SS,2002,population,6596806.0
SS,2001,population,6308391.0
SS,2000,population,6032267.0
SS,1999,population,5771628.0
SS,1998,population,5620068.0
SS,1997,population,5509136.0
SS,1996,population,5356925.0
SS,1995,population,5225836.0
SS,1994,population,5071184.0
SS,1993,population,4956002.0
SS,1992,population,4909749.0
SS,1991,population,4836677.0
SS,1990,population,4737633.0
SS,1989,population,4713229.0
SS,1988,population,4848029.0
SS,1987,population,4962395.0
SS,1986,population,4921240.0
SS,1985,population,4834296.0
SS,1984,population,4750627.0
SS,1983,population,4661574.0
SS,1982,population,4557686.0
SS,1981,population,4447272.0
SS,1980,population,4339030.0
SS,1979,population,4232605.0
SS,1978,population,4127657.0
SS,1977,population,4024032.0
SS,1976,population,3921910.0
SS,1975,population,3821494.0
SS,1974,population,3723259.0
